"No.","URL","First Seen","Country","Region","City","Host","Postal Code"
"1","https://www.bit.com","1991-05-02","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
"2","https://www.bw.com","1993-06-21","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
"3","https://www.exodus.com","1994-12-15","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
"4","https://www.marex.com","1995-12-26","","Leinster","Dublin","AS16509 Amazon.com, Inc.","D02"
"5","https://www.morganstanley.com","1996-05-24","","New Jersey","Piscataway","AS16625 Akamai Technologies, Inc.","08854"
"6","https://www.mawer.com","1996-06-21","","Washington","Seattle","AS19551 Incapsula Inc","98101"
"7","https://bigone.com","1996-10-29","","New Jersey","Piscataway","AS20940 Akamai International B.V.","08854"
"8","https://fi.woo.org","1996-12-13","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
"9","https://www.arcfinancial.com","1997-04-09","","Illinois","Chicago","AS19994 Rackspace Hosting","60666"
"10","https://acumencapital.com","1997-04-11","","California","Menifee","AS30148 Sucuri","92584"
"11","https://shapeshift.com","1997-04-15","","Virginia","Ashburn","AS14618 Amazon.com, Inc.","20147"
"12","https://www.petersco.com","1997-05-03","","Ontario","Toronto","AS63949 Akamai Connected Cloud","M5H"
"13","https://exchange.fastex.com","1997-05-06","","Thuringia","Niederdorla","AS209242 Cloudflare London, LLC","99986"
"14","https://www.itbit.com","1997-10-31","","Quebec","Montréal","AS16509 Amazon.com, Inc.","H3H"
"15","https://www.xt.com","1997-11-02","","Quebec","Montréal","AS16509 Amazon.com, Inc.","H3H"
"16","https://coin.z.com","1997-12-19","","Quebec","Montréal","AS16509 Amazon.com, Inc.","H3H"
"17","https://www.hashkey.com","1998-01-26","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
"18","https://northfront.com","1998-04-17","","Michigan","Detroit","AS55293 A2 Hosting, Inc.","48226"
"19","https://www.bittime.com","1998-06-19","","Jakarta","Jakarta","AS45102 Alibaba (US) Technology Co., Ltd.",""
"20","https://tomb.com","1998-07-22","","Washington","Seattle","AS16509 Amazon.com, Inc.","98101"
"21","https://www.bitmax.net","1998-09-15","","California","Santa Clara","AS14061 DigitalOcean, LLC","95054"
"22","https://cryptology.com","1998-10-03","","Quebec","Montréal","AS16509 Amazon.com, Inc.","H3H"
"23","https://www.orangex.com","1998-10-26","","Missouri","Kansas City","AS396982 Google LLC","64106"
"24","https://www.sushi.com","1999-02-17","","Washington","Seattle","AS16509 Amazon.com, Inc.","98101"
"25","https://bsc.mdex.com","1999-02-24","","California","San Francisco","AS54113 Fastly, Inc.","94107"
"26","https://exchange.lcx.com","1999-03-08","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
"27","https://www.circle.com","1999-04-09","","Massachusetts","Cambridge","AS209242 Cloudflare London, LLC","02141"
"28","https://www.bybit.com","1999-08-05","","New Jersey","Piscataway","AS20940 Akamai International B.V.","08854"
"29","https://wealthbridge.com","1999-08-06","","Quebec","Montréal","AS36666 GloboTech Communications","H3H"
"30","https://longbowcapital.com","1999-10-28","","Utah","Provo","AS46606 Unified Layer","84601"
"31","https://www.bibox.com","1999-11-30","","Hong Kong","Hong Kong","AS45102 Alibaba (US) Technology Co., Ltd.",""
"32","https://metalx.com","1999-12-02","","Washington","Seattle","AS16509 Amazon.com, Inc.","98109"
"33","https://www.zbx.com","2000-03-07","","California","San Francisco","AS13335 Cloudflare, Inc.","94107"
