"No.","URL","Detection","Registration","Host Country","Canadian Content","Risk","Type","Detected By","IP","Regulation","Canada Regulation","Payment Service","Google Analytics","Phone Number","Physical Location","Action"
"501","http://mataminerdogs.help","2024-12-10","2024-12-10","","","Critical","Investment","","172.67.144.2","registeredauditedx"">Details","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       minerdog industri 's pioneer verified-audit invest code solut design prove minerdog contract futur invest longev stabil minerdog inu ultim disrupt crypto industri peopl perceiv invest trade regular token industri face mani challeng includ token scam rug market volatil dishonest develop steal user fund lack liquid earn minerdog minerdog minerdog regist compani uk minerdog ltd registr number 14871317. audit verifi minerdog contract invest websit cryptocurr space run binanc minerdog chain bsc Close"">"
"502","http://crestedrise.com","2024-12-10","2024-12-06","","","Critical","Investment","","147.79.79.234","registeredregulatedapprovedx"">Details","","","","","1910 Pacific Ave, Dallas, TX 75201","Save                                 Edit                                 Close                             "">                                                                                                       trade share forex financi think access 000+ instrument across asset class trade hedg invest singl account trade low commiss tight spread crestedris get transpar price structur secur regul trade environ activ trader also qualifi lower fee extra benefit trade global market industry-lead price get ultra-competit spread commiss across asset class receiv even better rate volum increas fx spread low 0.2 pip trade fx spot pair forward across major minor exot metal crypto trade 0.4 trade invest confid tClose"">"
"503","http://slotvs.net","2024-12-10","2024-12-06","","","Critical","Investment","","104.21.96.1","licensedauthorizedx"">Details","","visamastercarddiscoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       slotv ultim guid onlin casino excel regist claim free peso bonu limit time welcom slotv regist claim free bonu introduct slotv slotv premier destin onlin casino enthusiast offer wealth resourc elev game experi core slotv commit excel ensur everi part casino journey expertli cover comprehens review trust casino expert tip strategi slotv equip player knowledg tool need confid navig world onlin gambl platform serv beginn season player provid complet overview onlin casino landscap whether your searcClose"">"
"504","http://womenschoices.org","2024-12-10","2024-12-07","","","Critical","Investment","","54.148.7.245","recognizedx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       box consum regul power believ much power incorrupt regulatori regim possibl busi affair includ ai regim call consum regul put power enrich destroy busi directli hand custom believ much power incorrupt regulatori regim possibl busi affair includ ai regim put power enrich destroy busi directli hand custom http //t.co/ek8cbv9iz6 individu free think act accord reason assess course-correct quickli effect freedom buy sell voluntarili power ultim incorrupt regulatori forc possibl custom decentr sovereiClose"">"
"505","http://lesrex.com","2024-12-09","2024-12-05","","","Critical","Investment","","147.79.79.71","","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       login/regist discov collect sell extraordinari nft explor world 's first investment-bas nft marketplac live auction 3d doodl bore ape yacht club lion azuki stone ape moonbird odditi chimper gutter juic bore ape yacht club okay bear goblintown doodl doodl bore ape deadfellaz hawaiian lion rainbow mutant ape mutant ape yacht club fidenza beanz top seller popular collect doodl tina art king leo trip ape iteemm fascin medusa bore aye yatch club top invest invest top nft collect creat account clClose"">"
"506","http://hodexfx.pro","2024-12-09","2024-12-09","","","Critical","Investment","","185.151.30.166","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       better way trade invest onlin trade help million custom achiev financi goal help trade invest eas secur come first secur onlin trade use highest level internet secur secur bit ssl secur encrypt ensur inform complet protect fraud two factor auth two-factor authent 2fa default onlin trade account secur protect unauthoris access imperson explor servic mission provid delight success trade experi power trade platform onlin trade offer multipl platform option cover need type trader investor high leverClose"">"
"507","http://rexoprime.com","2024-12-09","2024-12-05","","","Critical","Investment","","194.36.184.160","","","","","08148525656","","Save                                 Edit                                 Close                             "">                                                                                                       step smarter invest today empow individu smart invest opportun tool insight grow wealth achiev financi freedom join rexo prime commun rexoprimei dedic provid everyth need fastest easiest path financi freedommast market insight unlock profit opportunitiesforecast trade thrive expert guidanceyour gateway smart trade big opportunitiestrad smarter earn keep profitsunlock market minim risk maxim gain rexoprimei dedic provid everyth need fastest easiest path financi freedom best plan tariff plan 10.00Close"">"
"508","http://insuretocapital.com","2024-12-09","2024-12-05","","","Critical","Investment","","88.223.87.248","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       insur capit help navig world financ expert advic build secur futur stay connect us speak financ basic empow essenti financi knowledg lay solid foundat futur loan credit help navig world loan credit expert advic smarter financi decis insur solut craft tailor insur strategi protect matter secur financi peac mind crypto blockchain unlock potenti cryptocurr blockchain technolog drive digit financi growth invest in-depth analysi uncov top opportun ensur stay ahead competit digit landscap financi toolClose"">"
"509","http://tradehuboption.com","2024-12-09","2024-12-05","","","Critical","Investment","","162.215.15.12","registeredx"">Details","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       trade hub make invest safe stabl profit one smart invest product bitcoin ethereum rippl one smart invest product join team experienc trader one smart invest product buy sell exchang need know bitcoin trade hub manag team combin group experienc trader financi market analyst manag invest portfolio profit placement forex market goal provid highest expect return level transact trade hub join best skill knowledg talent effort bring profession riskless trade main goal trade hub financi stabil time payClose"">"
"510","http://earnextraprofit.pro","2024-12-09","2024-12-09","","","Critical","Investment","","162.215.15.12","","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       earnextraprofit avail countri bitcoin platform activ trade earnextraprofit award-win platform allow trade global market withbitcoin 50+ market one account trade cryptocurr stock indic commod forex singl account let top trader job covest allow automat copi top-perform trader achiev return get paid invit friend invit friend get pay trade fee join referr program today trade best find new opportun increas profit enjoy privaci secur maxim profit leverag improv trade result use leverag margin leverag Close"">"
